I/mA	P/mW	sP/mW
0	0.3	.1
50	0.6	.1
100	1.1	.1
150	27.3	3
200	117	3
250	199	3
300	287	3
350	365	3
400	452	3
450	537	3
500	623	3
550	710	3
600	795	3
650	882	3
700	961	3
750	532	3
800	572	3
850	613	3
900	651	3
950	678	3
1000	700	3
1050	717	3
1100	730	3
1150	740	3
1200	749	3
1250	756	3
1300	763	3
1350	768	3
1400	773	3
