I/mA	P/µW	sP/µW
0	0.34	0.1
50	0.35	0.1
100	0.36	0.1
150	0.40	0.1
175	0.45	0.1
200	124	50
250	570	50
300	1000	50
350	1600	50
400	2220	50
450	2780	50
500	3570	50
550	4360	50
600	4850	50
650	5200	50
700	5840	50
750	3120	50
800	3700	50
850	4210	50
900	4540	50
950	4750	50
1000	4890	50
1050	4950	50
1100	5030	50
1150	5120	50
1200	5240	50
1250	5320	50
1300	5370	50
1350	5420	50
1400	5470	50
